sample_name,experiment,condition,replicate,library,organism,cell_type,cell_clone,grna_library,condition,replicate_number,run_number,flowcell,lane,BSF_name,data_source
Drop-seq_HEK293T-3T3,,,,Drop-seq,humanmouse,HEK293T-3T3,,,,,,BSF_0249_000000000-ARE2L,1,DROP_0001_HEK_3T3_S16932,bsf_samples
CROP-seq_HEK293T_1,,,,Drop-seq,human,HEK293T,,,,,,BSF_0222_000000000-AMPDE,1,HEK293T_Cas9_S14170,bsf_samples
CROP-seq_HEK293T_1_resequenced,,,,Drop-seq,human,HEK293T,,,,,,BSF_0225_H5W5LBBXX,6,CROPseq1_pool2_S14606,bsf_samples
CROP-seq_Jurkat_TCR_stimulated,,,,Drop-seq,human,Jurkat,,TCR,stimulated,,,,,,
CROP-seq_Jurkat_TCR_stimulated_run1,CROP-seq_Jurkat_TCR,stimulated,1,Drop-seq,human,Jurkat,,TCR,stimulated,,1,,,,
CROP-seq_Jurkat_TCR_stimulated_run2,CROP-seq_Jurkat_TCR,stimulated,2,Drop-seq,human,Jurkat,,TCR,stimulated,,2,,,,
CROP-seq_Jurkat_TCR_unstimulated,,,,Drop-seq,human,Jurkat,,TCR,unstimulated,,,,,,
CROP-seq_Jurkat_TCR_unstimulated_run1,CROP-seq_Jurkat_TCR,unstimulated,1,Drop-seq,human,Jurkat,,TCR,unstimulated,,1,,,,
CROP-seq_Jurkat_TCR_unstimulated_run2,CROP-seq_Jurkat_TCR,unstimulated,2,Drop-seq,human,Jurkat,,TCR,unstimulated,,2,,,,
CROP-seq_Jurkat_TCR_stimulated_rep2,,,,Drop-seq,human,Jurkat,,TCR,stimulated,,,,,,
CROP-seq_Jurkat_TCR_stimulated_rep2_run1,CROP-seq_Jurkat_TCR,stimulated,3,Drop-seq,human,Jurkat,,TCR,stimulated,,1,,,,
CROP-seq_Jurkat_TCR_stimulated_rep2_run2,CROP-seq_Jurkat_TCR,stimulated,4,Drop-seq,human,Jurkat,,TCR,stimulated,,2,,,,
CROP-seq_Jurkat_TCR_unstimulated_rep2,,,,Drop-seq,human,Jurkat,,TCR,unstimulated,,,,,,
CROP-seq_Jurkat_TCR_unstimulated_rep2_run3,CROP-seq_Jurkat_TCR,unstimulated,3,Drop-seq,human,Jurkat,,TCR,unstimulated,,3,,,,
CROP-seq_Jurkat_TCR_unstimulated_rep2_run4,CROP-seq_Jurkat_TCR,unstimulated,4,Drop-seq,human,Jurkat,,TCR,unstimulated,,4,,,,
CROP-seq_Jurkat_TCR_stimulated_rep2_ND,,,,Drop-seq,human,Jurkat,,TCR,stimulated,,,,,,
CROP-seq_Jurkat_TCR_stimulated_rep2_run1_ND,CROP-seq_Jurkat_TCR,stimulated,3,Drop-seq,human,Jurkat,,TCR,stimulated,,1,,,,
CROP-seq_Jurkat_TCR_stimulated_rep2_run2_ND,CROP-seq_Jurkat_TCR,stimulated,4,Drop-seq,human,Jurkat,,TCR,stimulated,,2,,,,
CROP-seq_Jurkat_TCR_unstimulated_rep2_ND,,,,Drop-seq,human,Jurkat,,TCR,unstimulated,,,,,,
CROP-seq_Jurkat_TCR_unstimulated_rep2_run3_ND,CROP-seq_Jurkat_TCR,unstimulated,3,Drop-seq,human,Jurkat,,TCR,unstimulated,,3,,,,
CROP-seq_Jurkat_TCR_unstimulated_rep2_run4_ND,CROP-seq_Jurkat_TCR,unstimulated,4,Drop-seq,human,Jurkat,,TCR,unstimulated,,4,,,,
